2015-02-16 23:37:27 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:27 EST 2015: Topology: Changes Scores : lid: kGVxwUPSVi8Qv6rSkc72tUR4D4Y=, modelId: 16, oldScore: 0.0018831, newScore: 0.03914992051257409, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:27 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:27 EST 2015: Topology: Changes Scores : lid: kGVxwUPSVi8Qv6rSkc72tUR4D4Y=, modelId: 19, oldScore: 0.3372083, newScore: 0.01627061698211962, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:27 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:27 EST 2015: Topology: Changes Scores : lid: kGVxwUPSVi8Qv6rSkc72tUR4D4Y=, modelId: 18, oldScore: 0.0273678, newScore: 0.05427537949629197, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:27 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:27 EST 2015: Topology: Changes Scores : lid: kGVxwUPSVi8Qv6rSkc72tUR4D4Y=, modelId: 21, oldScore: 0.0146273, newScore: 0.02078132981051566, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:27 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:27 EST 2015: Topology: Changes Scores : lid: kGVxwUPSVi8Qv6rSkc72tUR4D4Y=, modelId: 20, oldScore: 0.0, newScore: 2.6605786206929815E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:27 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:27 EST 2015: Topology: Changes Scores : lid: kGVxwUPSVi8Qv6rSkc72tUR4D4Y=, modelId: 25, oldScore: 0.0025548, newScore: 0.020254616148230157, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:27 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:27 EST 2015: Topology: Changes Scores : lid: kGVxwUPSVi8Qv6rSkc72tUR4D4Y=, modelId: 26, oldScore: 0.0023372, newScore: 0.012708105582679569, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:27 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:27 EST 2015: Topology: Changes Scores : lid: kGVxwUPSVi8Qv6rSkc72tUR4D4Y=, modelId: 53, oldScore: 1.525E-4, newScore: 0.0015848158505837261, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 68, oldScore: 0.0325431, newScore: 0.09613383210562457, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 4, oldScore: 0.0055849, newScore: 0.060424168994144455, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: BnDHPeZofkT8E/jg8RWg5lGLubs=, modelId: 5, oldScore: 0.0025358, newScore: 0.016924893438575964, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: NPOS
